0.125	0.190693	0.394506	-2.02349	-2.09675	75.735	-21.2404
0.126	0.188708	0.392399	-1.94724	-2.11787	74.8345	-21.5011
0.127	0.1868	0.390271	-1.87246	-2.13832	72.6491	-21.1436
0.128	0.184964	0.388124	-1.80111	-2.15705	68.5975	-19.9301
0.129	0.183197	0.38596	-1.73594	-2.17389	62.3727	-18.9237
0.13	0.181491	0.383779	-1.67723	-2.19076	58.2446	-19.6264
0.131	0.17984	0.38158	-1.60775	-2.19826	85.0929	1.80482
0.132	0.178273	0.379383	-1.53036	-2.16601	73.7611	61.7482
0.133	0.176778	0.377247	-1.46276	-2.10064	64.6738	69.097
0.134	0.175346	0.375181	-1.39896	-2.03098	65.3778	70.7748
0.135	0.173979	0.373185	-1.33022	-1.9609	73.9963	70.0465
0.136	0.172685	0.371259	-1.25006	-1.8938	87.8171	64.7115
0.137	0.171478	0.369397	-1.15556	-1.83406	102.443	55.1568
0.138	0.170373	0.367591	-1.04746	-1.78406	114.84	45.0252
0.139	0.169383	0.365829	-0.928636	-1.74292	123.742	37.1423
0.14	0.168516	0.364105	-0.802675	-1.70831	128.93	31.6214
0.141	0.167777	0.362413	-0.672824	-1.67839	131.24	27.3663
0.142	0.16717	0.360749	-0.541293	-1.6523	131.833	23.6239
0.143	0.166695	0.359109	-0.409397	-1.6295	131.317	20.5744
0.144	0.166352	0.357491	-0.278631	-1.60816	128.847	20.834
0.145	0.166139	0.355893	-0.154656	-1.57885	117.191	37.0391
0.146	0.166044	0.354333	-0.0571404	-1.52185	75.7726	76.8632
0.147	0.166025	0.352849	0.00575086	-1.43688	48.1497	93.5917
0.148	0.166056	0.351459	0.0503618	-1.3404	39.6002	100.252
0.149	0.166127	0.350168	0.0897019	-1.24005	38.0139	101.486
0.15	0.166236	0.348978	0.128165	-1.13976	38.1859	100.136
0.151	0.166383	0.347888	0.166732	-1.04122	38.4768	97.9387
0.152	0.166569	0.346895	0.205327	-0.94484	38.4212	95.7235
0.153	0.166794	0.345998	0.243593	-0.850464	37.9461	93.8301
0.154	0.167057	0.345194	0.281178	-0.757745	37.1437	92.3182
0.155	0.167356	0.344482	0.317866	-0.666366	36.2074	91.0642
0.156	0.167692	0.343861	0.353671	-0.576204	35.4162	89.8134
0.157	0.168064	0.343329	0.388934	-0.487419	35.1486	88.2462
0.158	0.16847	0.342886	0.424472	-0.40042	35.9831	86.186
0.159	0.168913	0.342528	0.46193	-0.315269	38.9973	84.5016
0.16	0.169394	0.342255	0.503714	-0.228126	44.6401	90.1315
0.161	0.16992	0.342072	0.543128	-0.127761	34.2604	110.909
0.162	0.17048	0.342	0.569633	-0.0180491	18.8234	108.794
0.163	0.171059	0.342036	0.581664	0.0932971	5.31041	114.15
0.164	0.171644	0.342186	0.576878	0.221674	-14.8115	142.831
